"Dicionário de variáveis da PNAD 2015 - arquivo de pessoas 
Microdados das Pesquisas Básica e Suplementar de Acesso à Internet e à Televisão";;;;;;;
Posição Inicial;Tamanho;Código de variável;Quesito;;Categorias;;
;;;N°;Descrição;Tipo;Descrição;
PESQUISA BÁSICA;;;;;;;
PARTE 1 – IDENTIFICAÇÃO E CONTROLE;;;;;;;
1;4;V0101;;Ano de referência;;;
5;2;UF;2;Unidade da Federação;11;Rondônia;
;;;;;12;Acre;
;;;;;13;Amazonas;
;;;;;14;Roraima;
;;;;;15;Pará;
;;;;;16;Amapá;
;;;;;17;Tocantins;
;;;;;21;Maranhão;
;;;;;22;Piauí;
;;;;;23;Ceará;
;;;;;24;Rio Grande do Norte;
;;;;;25;Paraíba;
;;;;;26;Pernambuco;
;;;;;27;Alagoas;
;;;;;28;Sergipe;
;;;;;29;Bahia;
;;;;;31;Minas Gerais;
;;;;;32;Espírito Santo;
;;;;;33;Rio de Janeiro;
;;;;;35;São Paulo;
;;;;;41;Paraná;
;;;;;42;Santa Catarina;
;;;;;43;Rio Grande do Sul;
;;;;;50;Mato Grosso do Sul;
;;;;;51;Mato Grosso;
;;;;;52;Goiás;
;;;;;53;Distrito Federal;
5;8;V0102;2;Número de controle;As 2 primeiras posições são o código da Unidade da Federação;;
13;3;V0103;3;Número de série;;;
PARTE 3 – IDENTIFICAÇÃO DOS MORADORES;;;;;;;
16;2;V0301;1;Número de ordem;01 a 30;;
18;1;V0302;2;Sexo;2;Masculino;
;;;;;4;Feminino;
19;2;V3031;3;Dia de nascimento;00;Em caso de idade presumida ou estimada;
;;;;;01 a 31;Dia;
21;2;V3032;3;Mês de nascimento;01 a 12;Mês;
;;;;;20;Em caso de idade presumida ou estimada;
23;4;V3033;3;Ano de nascimento;0000 a 0120;Idade presumida ou estimada em anos;
;;;;;1895 a 2015;Ano;
27;3;V8005;;Idade do morador na data de referência;000 a 120;Idade em anos;
PARTE 4 – CARACTERÍSTICAS GERAIS DOS MORADORES;;;;;;;
30;1;V0401;1;Condição na unidade domiciliar;1;Pessoa de referência;
;;;;;2;Cônjuge;
;;;;;3;Filho;
;;;;;4;Outro parente;
;;;;;5;Agregado;
;;;;;6;Pensionista;
;;;;;7;Empregado doméstico;
;;;;;8;Parente do empregado doméstico;
31;1;V0402;2;Condição na família;1;Pessoa de referência;
;;;;;2;Cônjuge;
;;;;;3;Filho;
;;;;;4;Outro parente;
;;;;;5;Agregado;
;;;;;6;Pensionista;
;;;;;7;Empregado doméstico;
;;;;;8;Parente do empregado doméstico;
32;1;V0403;3;Número da família;1 a 9;;
33;1;V0404;4;Cor ou raça;2;Branca;
;;;;;4;Preta;
;;;;;6;Amarela;
;;;;;8;Parda;
;;;;;0;Indígena;
;;;;;9;Sem declaração;
34;1;V0405;5;Tem mãe viva;1;Sim;
;;;;;3;Não;
;;;;;5;Não sabe;
35;1;V0406;6;Mãe mora no domicílio;2;Sim;
;;;;;4;Não;
;;;;;;Não aplicável;
36;2;V0407;7;Número de ordem da mãe ;01 a 30;;
;;;;;99;Sem declaração;
;;;;;;Não aplicável;
38;1;V0408;8;Tem registro de nascimento;2;Sim;
;;;;;4;Não;
;;;;;6;Não sabe;
Os quesitos 11a1 a 11a (V04111 a V04011) referem-se a pessoas de 10 anos ou mais de idade;;;;;;;
39;1;V4111;11a1;Vive em companhia de cônjuge ou companheiro(a);1;Sim;
;;;;;3;Não, já viveu antes;
;;;;;5;Não, nunca viveu;
;;;;;;Não aplicável;
40;1;V4112;11a2;Natureza da união;1;Casamento civil e religioso;
;;;;;3;Só casamento civil;
;;;;;5;Só casamento religioso;
;;;;;7;União consensual;
;;;;;;Não aplicável;
41;1;V4011;11a;Estado civil;1;Casado(a);
;;;;;3;Desquitado(a) ou separado(a) judicialmente;
;;;;;5;Divorciado(a);
;;;;;7;Viúvo(a);
;;;;;0;Solteiro(a);
;;;;;;Não aplicável;
42;1;V0412;12;O informante desta parte foi;2;Própria pessoa;
;;;;;4;Outro morador;
;;;;;6;Não morador;
;;;;;9;Sem declaração;
;;;;;;Não aplicável;
PARTE 5 – CARACTERÍSTICAS DE MIGRAÇÃO DOS MORADORES;;;;;;;
